HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456933.87284,2014-10-03.3753487,bf,1.45,16.467,>16.467,99.990,0.233,0.199,V
2456934.86086,2014-10-04.3632902,be,1.72,16.804,>16.804,99.990,0.546,0.146,V
2456934.86229,2014-10-04.3647180,be,1.72,16.765,>16.765,99.990,0.165,0.151,V
2456936.12016,2014-10-05.6224915,ba,1.62,16.796,>16.796,99.990,0.427,0.147,V
2456936.12158,2014-10-05.6239054,ba,1.65,16.806,>16.806,99.990,0.303,0.145,V
2456938.08858,2014-10-07.5907532,ba,1.73,15.610,>15.610,99.990,0.058,0.437,V
2456938.09002,2014-10-07.5921894,ba,1.70,15.682,>15.682,99.990,1.256,0.409,V
2456943.07249,2014-10-12.5742461,ba,1.76,16.133,>16.133,99.990,0.236,0.270,V
2456943.07391,2014-10-12.5756653,ba,1.75,15.878,>15.878,99.990,0.478,0.342,V
2456944.08855,2014-10-13.5902186,ba,1.72,16.166,>16.166,99.990,0.186,0.262,V
2456944.08996,2014-10-13.5916334,ba,1.71,16.318,>16.318,99.990,0.406,0.228,V
2456944.84005,2014-10-14.3416540,bf,1.55,15.690,>15.690,99.990,0.722,0.406,V
2456945.83721,2014-10-15.3387268,bf,1.60,99.990,99.990,99.990,99.990,99.990,V
2456950.84936,2014-10-20.3504400,be,1.43,16.804,>16.804,99.990,0.691,0.146,V
2456950.85079,2014-10-20.3518673,be,1.47,16.701,16.625,0.204,0.858,0.160,V
2456951.82460,2014-10-21.3255849,be,1.63,16.694,>16.694,99.990,0.286,0.161,V
2456951.82605,2014-10-21.3270353,be,1.62,16.758,>16.758,99.990,0.142,0.152,V
2456951.82748,2014-10-21.3284701,bf,1.43,16.656,>16.656,99.990,0.442,0.167,V
2456952.81178,2014-10-22.3126798,be,1.48,16.650,>16.650,99.990,0.414,0.168,V
2456952.81320,2014-10-22.3140975,be,1.51,16.683,>16.683,99.990,0.711,0.163,V
2456960.79312,2014-10-30.2932875,be,1.46,16.402,>16.402,99.990,0.169,0.211,V
2456960.79457,2014-10-30.2947420,be,1.42,16.226,>16.226,99.990,0.304,0.248,V
2456966.77990,2014-11-05.2795204,be,1.58,16.011,>16.011,99.990,0.310,0.302,V
2456966.78133,2014-11-05.2809468,be,1.65,15.909,>15.909,99.990,0.192,0.332,V
2456967.06464,2014-11-05.5642335,ba,2.00,15.810,>15.810,99.990,0.679,0.364,V
2456967.06603,2014-11-05.5656241,ba,2.05,15.935,>15.935,99.990,-0.076,0.324,V
2456970.02554,2014-11-08.5248575,ba,1.71,15.118,>15.118,99.990,0.875,0.688,V
2456970.02694,2014-11-08.5262574,ba,1.76,15.642,>15.642,99.990,-0.572,0.425,V
2456972.01733,2014-11-10.5164593,ba,1.72,15.975,>15.975,99.990,0.786,0.313,V
2456972.01872,2014-11-10.5178521,ba,1.76,16.077,>16.077,99.990,1.321,0.284,V
2456978.00747,2014-11-16.5060530,ba,1.74,16.782,>16.782,99.990,0.304,0.149,V
2456978.00891,2014-11-16.5074908,ba,1.78,16.694,16.639,0.208,0.848,0.161,V
2456979.03486,2014-11-17.5333402,ba,1.79,16.919,>16.919,99.990,0.500,0.131,V
2456979.03633,2014-11-17.5348174,ba,2.00,16.754,>16.754,99.990,0.531,0.153,V
2456979.03775,2014-11-17.5362336,ba,1.83,16.883,>16.883,99.990,0.558,0.135,V
2456980.02863,2014-11-18.5270245,ba,2.03,17.007,>17.007,99.990,0.376,0.121,V
2456980.03010,2014-11-18.5284978,ba,2.03,16.922,>16.922,99.990,0.396,0.131,V
2456980.04196,2014-11-18.5403493,ba,2.06,17.010,>17.010,99.990,0.337,0.120,V
2456980.04346,2014-11-18.5418568,ba,2.08,16.930,>16.930,99.990,0.412,0.130,V
2456983.02477,2014-11-21.5228961,ba,1.66,17.048,>17.048,99.990,0.560,0.116,V
2456983.02617,2014-11-21.5242938,ba,1.68,16.996,16.827,0.188,0.713,0.122,V
2456983.06767,2014-11-21.5657959,ba,1.70,17.186,>17.186,99.990,0.317,0.102,V
2456983.06918,2014-11-21.5673009,ba,1.72,17.097,>17.097,99.990,0.364,0.111,V
2456984.03025,2014-11-22.5282879,ba,1.66,16.869,>16.869,99.990,0.186,0.137,V
2456984.03175,2014-11-22.5297805,ba,1.65,16.837,>16.837,99.990,0.409,0.141,V
2456985.03224,2014-11-23.5301902,ba,1.70,17.061,>17.061,99.990,0.441,0.115,V
2456985.03366,2014-11-23.5316031,ba,1.68,17.041,>17.041,99.990,0.257,0.117,V
2456987.02869,2014-11-25.5264603,ba,1.70,16.992,>16.992,99.990,0.210,0.123,V
2456987.03009,2014-11-25.5278651,ba,1.68,17.031,>17.031,99.990,0.255,0.118,V
2456989.96095,2014-11-28.4584776,ba,1.68,16.850,>16.850,99.990,0.418,0.140,V
2456989.96235,2014-11-28.4598707,ba,1.67,17.043,16.911,0.194,0.660,0.117,V
2456991.01842,2014-11-29.5158494,ba,1.65,17.292,>17.292,99.990,0.350,0.093,V
2456991.01983,2014-11-29.5172574,ba,1.66,99.990,99.990,99.990,99.990,99.990,V
2456993.95017,2014-12-02.4473605,ba,1.73,16.036,>16.036,99.990,0.588,0.296,V
2456993.95166,2014-12-02.4488484,ba,1.67,16.257,>16.257,99.990,-0.219,0.241,V
2456997.95434,2014-12-06.4512017,ba,1.78,15.698,>15.698,99.990,0.052,0.403,V
2456997.95589,2014-12-06.4527460,ba,1.82,15.682,>15.682,99.990,1.284,0.409,V
2457004.05054,2014-12-12.5469331,ba,1.63,16.468,>16.468,99.990,0.121,0.199,V
2457004.05193,2014-12-12.5483254,ba,1.72,16.401,>16.401,99.990,0.599,0.211,V
2457007.73197,2014-12-16.2280906,bf,1.44,16.815,>16.815,99.990,0.511,0.144,V
